"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"flw1",1.74960658002357,6.35386119257087,"flw","1",-0.73395045303237
"Men1",3.89317495934844,6.25610948191593,"Men","1",-0.697945810550126
"Cpr49Ae1",19.2618125696712,32.9423264907136,"Cpr49Ae","1",2.5
"CG400061",2.67627121708472,10.5571847507331,"CG40006","1",1.1511533572169
"Cys1",89.3751836579704,60.6060606060606,"Cys","1",2.5
"CLIP-1901",9.01038752725774,14.1739980449658,"CLIP-190","1",-0.734285323545791
"DIP-alpha1",31.0619700389812,21.603128054741,"DIP-alpha","1",-0.342138134286257
"CG59531",0.776133848241295,3.61681329423265,"CG5953","1",-0.851708796992498
"dally1",0.81129544873001,3.61681329423265,"dally","1",-0.773748541470603
"CG12131",5.71819421127846,10.9481915933529,"CG1213","1",0.732457218025558
"Cip41",2.21867333736033,7.52688172043011,"Cip4","1",-0.574541928238233
"RapGAP11",2.66692767315076,10.6549364613881,"RapGAP1","1",-0.292910487215879
"apolpp2",58.197110369437,26.9689737470167,"apolpp","2",-0.441142351114558
"GEFmeso2",5.59517487828581,23.9856801909308,"GEFmeso","2",1.83920402359102
"CG313132",4.25355353640758,4.65393794749403,"CG31313","2",-0.403056224041924
"mgl2",1.02561425977166,2.86396181384248,"mgl","2",-0.359647114159304
"tyf2",3.75082384050352,14.200477326969,"tyf","2",2.13565879745129
"dnc2",11.1903374345148,18.3770883054893,"dnc","2",-0.741234487617745
"shi2",2.96335078248463,14.0811455847255,"shi","2",0.00516650167705251
"Prat22",1.22458916144979,2.74463007159905,"Prat2","2",-0.430336878618096
"flw2",1.76039165304207,5.8472553699284,"flw","2",-0.730087339053568
"Men2",8.29893797094326,14.200477326969,"Men","2",0.236287419344184
"Cpr49Ae2",0.552707060325592,1.3126491646778,"Cpr49Ae","2",-0.370387314420652
"CG400062",0.730996043262238,2.74463007159905,"CG40006","2",-0.528001670251771
